artist,name,username,explicit,duration,popularity,danceability,loudness,tempo,acousticness,energy,valence,liveness,speechiness,genres,date
Joe Brooks,Pink Sky Moon,MelodicWanderer,False,224666,19,0.588,-11.464,101.158,0.763,0.291,0.336,0.624,0.0352,['viral pop'],2020
Sasha Alex Sloan,Keep On,MelodicWanderer,False,180240,45,0.762,-8.819,140.005,0.478,0.585,0.303,0.113,0.102,['alt z'],2019
The Staves,Nothing's Gonna Happen (Demo),MelodicWanderer,False,236450,49,0.35,-11.74,151.332,0.844,0.241,0.245,0.108,0.0308,"['chamber pop', 'indie folk', 'new americana', 'stomp and holler', 'uk americana']",2019
Trousdale,Wouldn't Come Back,MelodicWanderer,False,219533,53,0.602,-9.419,124.964,0.635,0.234,0.307,0.0987,0.0334,['modern indie folk'],2021
First Aid Kit,To Live a Life,MelodicWanderer,False,192813,44,0.329,-10.827,177.36,0.811,0.236,0.346,0.115,0.0345,"['indie folk', 'swedish americana', 'swedish country']",2018
Sufjan Stevens,Fourth of July,MelodicWanderer,False,279316,77,0.435,-22.39,120.484,0.973,0.104,0.162,0.119,0.0445,"['art pop', 'baroque pop', 'chamber pop', 'indie pop', 'indie rock']",2015
Birdy,People Help the People,MelodicWanderer,False,256236,68,0.433,-9.001,73.331,0.778,0.308,0.153,0.092,0.0291,"['neo mellow', 'uk pop', 'viral pop']",2011
Birdy,Let It All Go,MelodicWanderer,False,280757,48,0.383,-8.644,107.005,0.817,0.43,0.174,0.0869,0.0302,"['neo mellow', 'uk pop', 'viral pop']",2016
Birdy,Skinny Love,MelodicWanderer,False,201080,70,0.379,-8.487,165.997,0.952,0.29,0.184,0.118,0.0513,"['neo mellow', 'uk pop', 'viral pop']",2011
Birdy,Wings,MelodicWanderer,False,252106,63,0.474,-4.534,83.235,0.0831,0.709,0.227,0.162,0.0253,"['neo mellow', 'uk pop', 'viral pop']",2013
Birdy,Strange Birds,MelodicWanderer,False,183680,21,0.541,-7.68,78.129,0.572,0.376,0.247,0.109,0.0294,"['neo mellow', 'uk pop', 'viral pop']",2013
Birdy,Evergreen,MelodicWanderer,False,212893,15,0.335,-11.621,160.124,0.827,0.3,0.276,0.124,0.033,"['neo mellow', 'uk pop', 'viral pop']",2021
mehro,perfume,MelodicWanderer,False,149668,58,0.677,-7.086,129.975,0.833,0.455,0.704,0.105,0.0322,['gen z singer-songwriter'],2021
Jacob Lee,Artistry,MelodicWanderer,False,244530,36,0.437,-5.178,146.015,0.159,0.681,0.26,0.136,0.0354,['australian pop'],2020
Ashe,I'm Fine,MelodicWanderer,False,136345,40,0.521,-6.547,147.964,0.0951,0.486,0.279,0.147,0.0273,['alt z'],2021
Billie Eilish,TV,MelodicWanderer,False,281380,81,0.412,-15.159,140.214,0.83,0.236,0.119,0.147,0.0379,"['art pop', 'pop']",2022
Liana Flores,rises the moon,MelodicWanderer,False,161929,81,0.483,-20.149,137.35,0.947,0.129,0.203,0.106,0.0349,['pov: indie'],2019
Powfu,death bed (coffee for your head),MelodicWanderer,False,173333,78,0.726,-8.765,144.026,0.731,0.431,0.348,0.696,0.135,"['sad lo-fi', 'sad rap']",2020
Kodaline,All I Want,MelodicWanderer,False,305746,77,0.188,-9.733,187.376,0.174,0.411,0.159,0.0843,0.0484,"['irish pop', 'modern rock', 'neo mellow']",2013
Michael Kiwanuka,Cold Little Heart - Radio Edit,MelodicWanderer,False,210299,72,0.629,-6.208,110.264,0.357,0.58,0.655,0.436,0.0278,"['british soul', 'neo soul', 'psychedelic soul', 'soul']",2017
Michael Kiwanuka,Love & Hate,MelodicWanderer,False,427093,63,0.278,-7.853,169.661,0.157,0.494,0.527,0.173,0.029,"['british soul', 'neo soul', 'psychedelic soul', 'soul']",2016
