artist,name,username,explicit,duration,popularity,danceability,loudness,tempo,acousticness,energy,valence,liveness,speechiness,genres,date
Simon & Garfunkel,"Mrs. Robinson - From ""The Graduate"" Soundtrack",Spotify,False,244026,78,0.606,-14.035,92.033,0.713,0.457,0.813,0.0747,0.0497,"['classic rock', 'folk', 'folk rock', 'melancholia', 'mellow gold']",1960
The Doors,People Are Strange,Spotify,False,130173,77,0.699,-8.578,119.287,0.685,0.467,0.764,0.315,0.0375,"['acid rock', 'album rock', 'classic rock', 'hard rock', 'psychedelic rock']",1960
Frank Sinatra,Somethin' Stupid,Spotify,False,162493,77,0.257,-12.902,207.356,0.736,0.338,0.544,0.252,0.0357,"['adult standards', 'easy listening', 'lounge']",1960
Buffalo Springfield,For What It's Worth,Spotify,False,153693,76,0.653,-10.164,98.883,0.406,0.519,0.822,0.101,0.0497,"['album rock', 'blues rock', 'classic rock', 'country rock', 'folk']",1960
The Beatles,Twist And Shout - Remastered 2009,Spotify,False,155226,76,0.482,-9.198,124.631,0.641,0.849,0.937,0.0414,0.0452,"['british invasion', 'classic rock', 'merseybeat', 'psychedelic rock', 'rock']",1960
Etta James,I'd Rather Go Blind,Spotify,False,156653,76,0.477,-6.473,82.52,0.689,0.433,0.611,0.151,0.0247,"['jazz blues', 'soul', 'soul blues', 'torch song', 'vocal jazz']",1960
Simon & Garfunkel,The Sound of Silence - Acoustic Version,Spotify,False,185413,77,0.525,-13.551,106.761,0.837,0.216,0.328,0.107,0.0301,"['classic rock', 'folk', 'folk rock', 'melancholia', 'mellow gold']",1960
Frankie Valli,Can't Take My Eyes off You,Spotify,False,203680,75,0.581,-7.053,123.711,0.508,0.78,0.561,0.0799,0.0567,"['adult standards', 'bubblegum pop', 'lounge']",1960
The Turtles,Happy Together,Spotify,False,176293,74,0.584,-9.638,120.175,0.55,0.367,0.588,0.0818,0.0328,"['bubblegum pop', 'classic rock', 'folk rock', 'merseybeat', 'psychedelic rock']",1960
Aretha Franklin,Respect,Spotify,False,147600,74,0.805,-5.226,114.95,0.164,0.558,0.965,0.0546,0.041,"['classic soul', 'jazz blues', 'memphis soul', 'soul', 'southern soul']",1960
The Rolling Stones,Gimme Shelter,Spotify,False,270773,74,0.634,-8.277,118.628,0.447,0.63,0.489,0.17,0.031,"['album rock', 'british invasion', 'classic rock', 'rock']",1960
The Monkees,I'm a Believer - 2006 Remaster,Spotify,False,167373,73,0.526,-6.05,80.106,0.707,0.775,0.962,0.217,0.0352,"['album rock', 'beatlesque', 'bubblegum pop', 'classic rock', 'folk rock']",1960
Led Zeppelin,Whole Lotta Love - 1990 Remaster,Spotify,False,333893,72,0.412,-11.6,89.74,0.0484,0.902,0.422,0.405,0.405,"['album rock', 'classic rock', 'hard rock', 'rock']",1960
Stevie Wonder,For Once In My Life,Spotify,False,169800,72,0.524,-11.903,110.121,0.195,0.519,0.847,0.523,0.043,"['motown', 'soul']",1960
The Box Tops,The Letter,Spotify,False,112800,72,0.638,-12.156,139.434,0.252,0.428,0.901,0.132,0.0687,"['bubblegum pop', 'classic garage rock', 'folk rock', 'merseybeat', 'psychedelic rock']",1960
Marvin Gaye,I Heard It Through The Grapevine,Spotify,False,194293,72,0.711,-10.851,117.287,0.272,0.362,0.616,0.127,0.0381,"['classic soul', 'motown', 'neo soul', 'northern soul', 'quiet storm']",1960
The Supremes,You Can't Hurry Love,Spotify,False,167933,72,0.63,-9.34,96.915,0.299,0.711,0.659,0.0813,0.0472,"['adult standards', 'classic girl group', 'classic soul', 'disco', 'motown']",1960
Dusty Springfield,Spooky,Spotify,False,164173,72,0.752,-12.725,106.283,0.5,0.445,0.964,0.0912,0.0338,"['adult standards', 'british invasion', 'folk rock', 'soul', 'vocal jazz']",1960
Frank Sinatra,Strangers In The Night,Spotify,False,157866,72,0.259,-8.275,90.348,0.592,0.473,0.539,0.201,0.0295,"['adult standards', 'easy listening', 'lounge']",1960
Steppenwolf,Born To Be Wild,Spotify,False,210373,71,0.438,-12.412,145.928,0.262,0.71,0.53,0.221,0.0919,"['acid rock', 'album rock', 'blues rock', 'classic canadian rock', 'classic rock']",1960
Etta James,A Sunday Kind Of Love,Spotify,False,196133,71,0.421,-9.43,85.861,0.829,0.285,0.402,0.233,0.0293,"['jazz blues', 'soul', 'soul blues', 'torch song', 'vocal jazz']",1960
Jefferson Airplane,Somebody to Love,Spotify,False,174840,71,0.504,-9.302,132.411,0.408,0.578,0.654,0.321,0.031,"['acid rock', 'album rock', 'blues rock', 'classic rock', 'folk rock']",1960
The Beach Boys,Surfin' U.S.A. - Remastered 2001,Spotify,False,149373,70,0.55,-5.968,159.231,0.661,0.854,0.965,0.112,0.036,"['baroque pop', 'classic rock', 'folk rock', 'mellow gold', 'psychedelic rock']",1960
The Animals,House Of The Rising Sun,Spotify,False,271280,69,0.295,-6.696,117.2,0.000385,0.584,0.228,0.0996,0.0345,"['album rock', 'british invasion', 'classic rock', 'hard rock', 'protopunk']",1960
The Doors,Break on Through (To the Other Side),Spotify,False,145866,69,0.421,-9.584,89.839,0.2,0.751,0.789,0.17,0.0472,"['acid rock', 'album rock', 'classic rock', 'hard rock', 'psychedelic rock']",1960
Aretha Franklin,(You Make Me Feel Like) A Natural Woman,Spotify,False,165333,69,0.603,-10.083,110.89,0.679,0.271,0.405,0.141,0.0284,"['classic soul', 'jazz blues', 'memphis soul', 'soul', 'southern soul']",1960
David Bowie,Space Oddity - 2015 Remaster,Spotify,False,318026,69,0.31,-13.664,134.48,0.0726,0.403,0.466,0.139,0.0326,"['art rock', 'classic rock', 'glam rock', 'permanent wave', 'rock']",1960
The Archies,Sugar Sugar,Spotify,False,167213,69,0.757,-7.259,122.439,0.399,0.725,0.965,0.108,0.0275,"['bubblegum pop', 'classic canadian rock', 'rock-and-roll']",1960
Harry Belafonte,Jump in the Line,Spotify,False,221704,69,0.594,-7.775,116.187,0.768,0.889,0.8,0.124,0.246,['calypso'],1960
Bob Dylan,Like a Rolling Stone,Spotify,False,369600,69,0.482,-6.839,95.263,0.731,0.721,0.557,0.189,0.0321,"['classic rock', 'country rock', 'folk', 'folk rock', 'rock']",1960
Sam & Dave,"Hold On, I'm Comin'",Spotify,False,155706,69,0.803,-14.029,106.841,0.196,0.338,0.912,0.097,0.0349,"['classic soul', 'memphis soul', 'soul', 'southern soul']",1960
The Beatles,Help! - Remastered 2009,Spotify,False,139560,69,0.534,-7.576,94.963,0.188,0.725,0.767,0.0994,0.0333,"['british invasion', 'classic rock', 'merseybeat', 'psychedelic rock', 'rock']",1960
Dion,Runaround Sue,Spotify,False,171600,67,0.364,-9.791,79.987,0.451,0.607,0.598,0.251,0.125,"['doo-wop', 'rock-and-roll', 'rockabilly']",1960
Simon & Garfunkel,The Boxer,Spotify,False,308520,67,0.439,-14.464,93.017,0.702,0.488,0.629,0.16,0.0615,"['classic rock', 'folk', 'folk rock', 'melancholia', 'mellow gold']",1970
Johnny Cash,Ring of Fire,Spotify,False,158426,67,0.659,-8.189,104.111,0.623,0.585,0.784,0.348,0.0288,"['arkansas country', 'outlaw country', 'rock']",1960
The Doors,Light My Fire,Spotify,False,429760,67,0.413,-5.787,124.618,0.369,0.725,0.44,0.0905,0.0324,"['acid rock', 'album rock', 'classic rock', 'hard rock', 'psychedelic rock']",1960
Cream,White Room,Spotify,False,298333,67,0.553,-13.458,109.827,0.191,0.576,0.457,0.0365,0.0304,"['album rock', 'blues rock', 'british blues', 'classic rock', 'folk rock']",1960
The Drifters,Under the Boardwalk,Spotify,False,161960,67,0.747,-13.635,123.792,0.908,0.226,0.778,0.107,0.0414,"['adult standards', 'classic soul', 'doo-wop', 'rock-and-roll', 'rockabilly']",1960
Paul Anka,Put Your Head On My Shoulder,Spotify,False,154733,67,0.547,-9.2,115.838,0.747,0.335,0.474,0.101,0.0307,"['adult standards', 'canadian pop', 'easy listening', 'rock-and-roll']",2000
